COMMUNE_PCODE	commune	PROVINCE	REGION	area_km2	road_length_km	road_density_km_per_km2	indice_densite_routiere	Indice_transport	Indice_POI	Indice_accessibilite
MA0020094610914	Mzamza Janoubia	Settat	Grand Casablanca-Settat	431.3016992950029	256.6125001092008	0.5949721518107962	8.23	0.48	0.11	4.28
MA0020094610915	Mzoura	Settat	Grand Casablanca-Settat	381.8125781908928	185.3763163826444	0.4855165255712523	6.71	0.0	0.07	3.37
MA0020094610919	Oulad Said	Settat	Grand Casablanca-Settat	294.56339674363625	233.2500215975797	0.7918499860340126	10.95	0.0	0.15	5.5
MA0020094610921	Oulad Sghir	Settat	Grand Casablanca-Settat	304.3976353597673	117.48430296258005	0.3859566872907058	5.34	0.0	0.04	2.68
MA0020094610923	Rima	Settat	Grand Casablanca-Settat	184.37039311716245	138.41829725630572	0.7507620660565854	10.38	0.0	0.04	5.2
MA0020094610925	Sidi El Aidi	Settat	Grand Casablanca-Settat	286.9471395225057	137.66985418461186	0.479774269273781	6.63	0.24	0.11	3.41
MA0020094610927	Sidi Mohammed Ben Rahal	Settat	Grand Casablanca-Settat	279.6543920907501	165.52674468312387	0.5918975326853049	8.18	0.48	0.04	4.24
MA0020094610931	Toualet	Settat	Grand Casablanca-Settat	211.20066817294185	113.9948466543474	0.5397466193667656	7.46	0.24	0.0	3.8
MA0030014010107	Ouarzazate	Ouarzazate	Drâa-Tafilalet	63.7323215975307	45.14874953829992	0.7084121275765546	9.79	2.64	10.28	7.74
MA0030014010109	Taznakht	Ouarzazate	Drâa-Tafilalet	19.443178003737334	47.07655540508141	2.4212376904656447	33.47	0.0	1.32	17.0
MA0030014010301	Ait Zineb	Ouarzazate	Drâa-Tafilalet	813.9074708718821	110.86745928775368	0.1362162939344802	1.88	0.0	3.45	1.63
MA0030014010303	Amerzgane	Ouarzazate	Drâa-Tafilalet	1208.746450494788	116.76639490766868	0.0966012308535603	1.34	0.0	0.55	0.78
MA0030014010305	Iznaguen	Ouarzazate	Drâa-Tafilalet	1544.2926032651444	246.3283388815964	0.1595088510822217	2.21	0.0	0.33	1.17
MA0030014010307	Ighrem N'Ougdal	Ouarzazate	Drâa-Tafilalet	597.8034424805403	113.21646126210432	0.1893874360982619	2.62	0.0	1.18	1.55
MA0030014010309	Khouzama	Ouarzazate	Drâa-Tafilalet	878.3822408290592	247.25558759093568	0.2814897388607993	3.89	0.0	0.15	1.98
MA0030014010311	Ouisselsate	Ouarzazate	Drâa-Tafilalet	1952.0458871580752	453.437566499834	0.2322883747164263	3.21	0.0	0.26	1.66
MA0030014010313	Siroua	Ouarzazate	Drâa-Tafilalet	1357.2814889022443	182.6955101080113	0.1346039945301056	1.86	0.0	0.26	0.98
MA0030014010315	Telouet	Ouarzazate	Drâa-Tafilalet	1089.7867962660443	158.76058399598992	0.1456804069749735	2.01	0.0	1.07	1.22
MA0030014010317	Tidli	Ouarzazate	Drâa-Tafilalet	603.0205876288156	140.70645341757162	0.233336068957205	3.23	0.0	0.18	1.65
MA0030014010701	Ghassate	Ouarzazate	Drâa-Tafilalet	1450.836799132852	117.21268210959552	0.08078970851832	1.12	0.0	0.26	0.61
MA0030014010703	Idelsane	Ouarzazate	Drâa-Tafilalet	582.3909226040805	31.63644159506592	0.0543216598459466	0.75	0.0	0.4	0.46
MA0030014010705	Imi N'Oulaoune	Ouarzazate	Drâa-Tafilalet	1284.892963775043	160.90985756614438	0.1252321104579698	1.73	0.0	0.4	0.94
MA0030014010707	Skoura Ahl El Oust	Ouarzazate	Drâa-Tafilalet	1357.945801493692	198.42984411660703	0.1461250102164175	2.02	0.72	1.98	1.62
MA0030014010709	Tarmigt	Ouarzazate	Drâa-Tafilalet	1106.878146579532	167.92121962473482	0.1517070511723842	2.1	0.72	1.95	1.66
MA0030014010711	Toundoute	Ouarzazate	Drâa-Tafilalet	710.2032889189064	54.52595258885216	0.0767751338801222	1.06	0.0	0.18	0.57
MA0030022010101	Arfoud	Errachidia	Drâa-Tafilalet	12.69070498088424	30.346086421981035	2.391205726371447	33.06	0.24	1.43	16.89
MA0030022010103	Boudnib	Errachidia	Drâa-Tafilalet	5.933107895356766	10.452934507264644	1.7617974747172698	24.36	0.0	0.48	12.28
MA0030022010105	Errachidia	Errachidia	Drâa-Tafilalet	29.98245913169587	45.20510980288752	1.5077185498470027	20.84	1.44	4.77	11.81
MA0030022010109	Goulmima	Errachidia	Drâa-Tafilalet	13.156176554018092	12.006184165490115	0.9125891641993242	12.62	0.0	1.03	6.52
MA0030022010111	Jorf	Errachidia	Drâa-Tafilalet	249.1349082806236	54.14150936660136	0.2173180376056204	3.0	0.0	0.33	1.57
MA0030022010113	Moulay Ali Cherif	Errachidia	Drâa-Tafilalet	9.668550360297266	34.05180770277063	3.521914499468324	48.69	0.96	1.21	24.88
MA0030022010115	Tinejdad	Errachidia	Drâa-Tafilalet	21.09287159184657	29.4586271240892	1.396615297059714	19.31	0.0	0.88	9.83
MA0030022010301	Aarab Sebbah Gheris	Errachidia	Drâa-Tafilalet	119.00763212346136	44.68200212655177	0.3754549294804689	5.19	0.0	0.11	2.62
MA0030022010303	Aarab Sebbah Ziz	Errachidia	Drâa-Tafilalet	310.02343441753106	127.45903468359644	0.4111270972888394	5.68	0.0	0.81	3.0
MA0030022010307	Es-sifa	Errachidia	Drâa-Tafilalet	43.31012026043759	19.476941556219693	0.4497087849005872	6.22	0.0	0.04	3.12
MA0030022010309	Fezna	Errachidia	Drâa-Tafilalet	665.4339274922046	103.03434836827311	0.1548378345489156	2.14	0.0	0.44	1.16
