Libelle Arabe	commune	taux_vieillissement
???	Bzou	18.9
?????	Azlaf	18.9
??? ???????	Fès-Médina	18.9
?????	El Mers	18.9
??????	Ouneine	18.9
???? ??????	Sidi Hsaine	18.9
????? ????? ?????	My Driss Aghbal	18.8
??? ????	Bni Smir	18.8
???????	Zeghanghane	18.8
??????	Talzemt	18.8
??? ?????	Imi-Mqourn	18.8
??? ?????	Ait Makhlouf	18.8
????????	Khémisset	18.7
???????	Taghzirt	18.7
??????	Rouadi	18.7
???? ????	Tizi Ouasli	18.7
???? ???? ??? ???? ?? ?????	Kasbat Sidi Abdellah Ben M'barek	18.7
????? ?????	Oulad Gouaouch	18.6
?????	Guettaya	18.6
??????	Matmata	18.6
??? ?????	Ait Boufoulen	18.6
??????	Taghjijt	18.6
????? ?????	Oulad Mtaa	18.6
????????	Mohammadia	18.5
?? ?????? ?? ??? ???????	Si Hsaien Ben Abderrahmane	18.5
???????	Boujniba	18.5
???????	El Ksiba	18.5
????????	Zrarda	18.5
????	Oujda	18.5
?????	Gafait	18.5
????	Aguerd	18.5
???? ??? ??????	Sidi Abdelmoumen	18.5
??????	Tioughza	18.5
?????	Lamssid	18.4
???? ???????	Sidi El Rhandour	18.4
????????	Timoulilt	18.4
????? ?????	Zaouiat Cheikh	18.4
??????	Temsamane	18.4
?????	Aghbal	18.4
??????	Mestegmer	18.4
??? ?????	Ras Asfour	18.4
???? ??? ??????	Sidi Abdeljalil	18.4
????	Takate	18.4
????	Fask	18.4
??? ????	Ain Orma	18.3
??? ??????	Bni Boufrah	18.3
???????	Taifa	18.3
????????	Chouihia	18.3
???????	Naima	18.3
???? ???? ??????	Sidi Ahmed Essayeh	18.3
??????	Bouabout	18.3
??????	Bounrar	18.3
????	Mesti	18.3
?????	Azrar	18.3
?????	Sbata	18.2
???? ??? ??????	Jemaat Moul Blad	18.2
??? ???	Bni Quolla	18.2
????? ?????	Moulay Bouchta	18.2
??????	M'hajer	18.2
????????	Tafraouten	18.2
???? ??? ???? ?? ?????	Sidi Abdellah Ou Belaid	18.2
????	Ghassate	18.2
?????	Aoufous	18.2
??????	Masmouda	18.1
????????	Sfassif	18.1
?????	Khalfia	18.1
??? ???????	Bin El Ouidane	18.1
??? ????	Bni Bataou	18.1
????	Madagh	18.1
??? ????	Ait Said	18.1
???? ?????	Imi-N'tlit	18.1
???????	Ichamraren	18.1
????	Tiout	18.1
?????	Tizguine	18.1
??????	Amghras	18.1
???????	Taouyalte	18.1
??????	Askaouen	18.1
??? ?????	Akka-Ighane	18.1
??????	Tsaft	18
??????	Timlilt	18
??? ?????	Ait Erkha	18
???????	Zagmouzen	18
????	Siroua	18
??????	Ouisselsate	18
??????	M'garto	17.9
???????	Rommani	17.9
??? ????	Bir Mezoui	17.9
???????	Chougrane	17.9
????????	Bhalil	17.9
???????	Smia	17.9
???????	Lahsinate	17.9
????????	Timezgadiouine	17.9
??????	Argana	17.9
??? ????	Bni Arouss	17.8
????? ????	Ouled Cebbah	17.8
???? ?????	Ribate El Kheir	17.8
??????	Taghazout	17.8
????? ??????	Toudgha El Oulia	17.8
??? ??????	Bab Lamrissa	17.7
???? ????	Sidi Kacem	17.7
????? ?????	Moulay Bouazza	17.7
??????	Tachraft	17.7
??? ?????	Bejaad	17.7
??? ?????	Ait Ishaq	17.7
???????	Iaazzanene	17.7
??? ?????	Ain Leuh	17.7
???????	Boughriba	17.7
???????	Laatamna	17.7
???? ????	Sidi Ghaneme	17.7
???????	Chbika	17.6
?? ?????	Ben Maachou	17.6
??????	Mzoura	17.6
??? ??? ???	Sebt Ait Rahou	17.6
????	Hattane	17.6
????	Semguet	17.6
???? ?????	Sidi Bousber	17.6
??????	Brarha	17.6
??? ?????	Bni Frassen	17.6
???????	Jbarna	17.6
??? ????	Bni Chiker	17.6
?????	Tahla	17.6
??? ??????	Ait Saghrouchen	17.6
?????	Asrir	17.6
?????? ????	Agadir Melloul	17.6
???????	Souani	17.5
????????	El Youssoufia	17.5
??? ??????	Ait Belkacem	17.5
??? ?????	Ait Siberne	17.5
?????	Isseksi	17.5
???????	Brikcha	17.5
?????	Kissane	17.5
???????	Ourtzarh	17.5
???????	Imrabten	17.5
????	Afsou	17.5
?????	Azzaba	17.5
???????	Tafajight	17.5
?????	Rahhala	17.5
?????	Aferkat	17.5
??????	Imgdal	17.5
??????	Tisrasse	17.5
???? ????????	Sidi Bernoussi	17.4
????? ?????	Ouled Yaich	17.4
???? ?????	Sidi Redouane	17.4
????? ??? ??????	Moulay Abdelkrim	17.4
???????	El Bibane	17.4
????	Galaz	17.4
???????	Tazarine	17.4
??? ????	Ait Bazza	17.4
??????	Bizdad	17.4
?????????	Talmakante	17.4
??????	Tizounine	17.4
???? ????	Sidi Ghanem	17.3
????????	Maadna	17.3
???????	Ouaouizeght	17.3
?????	Ajdir	17.3
?????	Irherm	17.3
??? ??????	Dar Jamaa	17.3
???? ?????	Sidi Badhaj	17.3
???? ???????	Oued El Makhazine	17.2
??? ????	Bni Hilal	17.2
?????	Tamda	17.2
???? ?????	Sidi Hammadi	17.2
?????	Senada	17.2
??????	Ouardana	17.2
?????	Oualili	17.2
?????	Meknès	17.2
??????	Boulemane	17.2
??? ????	Bab Boudir	17.2
????	Zaio	17.2
????????	Saidia	17.2
????	Massa	17.2
??????	Chaibate	17.1
????? ????	Oulad Said	17.1
???? ???? ????	Khemis Sidi Yahya	17.1
??? ????	Ait Ichou	17.1
??????	Boukhrisse	17.1
??? ?????	Bni Zrantel	17.1
????? ??? ?????	Fennassa Bab El Hit	17.1
??? ????	Bni Oulid	17.1
??? ??????	Ain Timguenai	17.1
??????	El Kbab	17.1
????? ??? ????	Oulad Ali Youssef	17.1
????	Debdou	17.1
????????	Mzilate	17.1
??????	Amgala	17
??? ?????	Aïn-Sebaâ	17
???????	Laamria	17
??? ??????	Ait Ouribel	17
??? ?????	Ait Mimoune	17
???????	Bouqachmir	17
??? ?? ?????	Ait Oum El Bekht	17
??? ???? ???????	Bni Ounjel Tafraout	17
???????	Al Hoceima	17
????	Sefrou	17
??????	Serghina	17
????	Taza	17
?????	Fezouane	17
????? ????????	Moulay Bouzarqtoune	17
??????	Tazemmourt	17
??????	Ijoukak	17
?????	Assaki	17
??????	Goulmima	17
?????? ?????	Moualine El Oued	16.9
????? ??????	Zaouiat Lakouacem	16.9
???? ????	Sidi Jaber	16.9
??? ????	Ait Mazigh	16.9
?????	Teroual	16.9
?????	Midar	16.9
??? ?? ?????	Ait Ben Yacoub	16.9
?????? ???????	Meknassa Al Gharbia	16.9
??? ????	Bni Khaled	16.9
???? ?????	Ida Ou Guelloul	16.9
?????? ??????	Bouabout Amdlane	16.9
???????	Amskroud	16.9
?????	Gueliz	16.9
????????	Youssoufia	16.8
??????	Lahouaza	16.8
???????	El Foqra	16.8
???????	Ijermaouas	16.8
?????	Tamedit	16.8
??????-???? ????	El Aioun Sidi Mellouk	16.8
?????	Jerada	16.8
???????	Targante	16.8
??????	Imsouane	16.8
??????	Tamaloukte	16.8
????	Arazane	16.8
??? ?????	Imi-N'fast	16.8
???? ????	Sidi Aissa	16.7
????	Mettouh	16.7
??? ??????	Bni Tsiriss	16.7
????? ??????	Oulad Sghir	16.7
?????	Marchouch	16.7
????????	M'fassis	16.7
?? ??????	Foum Jemaa	16.7
????	Tisqi	16.7
??????	Afourar	16.7
??????	Taghzout	16.7
??? ?????	Ain Maatouf	16.7
???????	Traiba	16.7
?????? ???????	Meknassa Acharqia	16.7
????? ??? ????	N'zalat Bni Amar	16.7
?????	Itzer	16.7
???????	Mestferki	16.7
??????	Ounagha	16.7
???? ????? ???????	Sidi M'hamed Ou Marzouq	16.7
????????	Tafingoult	16.7
????? ???? ???????	Zaouiat Sidi Ben Hamdoun	16.6
??????	Khouribga	16.6
??? ?????	Ait Ouaarda	16.6
???? ?????	Kasba Tadla	16.6
??????	Zghira	16.6
?????	Ajdir	16.6
??? ??????	Ain Zohra	16.6
?????? ?????	Aguelmam Azegza	16.6
??????	M'ramer	16.6
???????	Ezzaouite	16.6
?????	Iguidi	16.6
????? ?????	Ouled Zidane	16.5
????? ???? ??? ?? ????	Oulad Sidi Ali Ben Youssef	16.5
??????	Laaounate	16.5
?????	Gdana	16.5
??????	El Menzeh	16.5
???????	Boulanouare	16.5
????? ????	Ouled Zmam	16.5
?????	Tabia	16.5
??????	Bradia	16.5
???????	Rouached	16.5
???????	Moqrissat	16.5
??? ??????	Ain Mediouna	16.5
?????	Bouhlou	16.5
??????	Maghraoua	16.5
????????	Mouarid	16.5
???????	Touama	16.5
??? ???????	Ain Chouater	16.5
????	Safi	16.4
??? ????	Aïn-Chock	16.4
????	Rima	16.4
????????	Brachoua	16.4
????? ???? ?????	Ouled Said Loued	16.4
????	Ouezzane	16.4
????	Azrou	16.4
?????	Kerrouchen	16.4
???? ??????-???????	Sidi Slimane Echcharaa	16.4
??????	Guenfouda	16.4
?????	Tamaguert	16.4
????	Tatoft	16.3
??? ???	Bni Oual	16.3
??????	Khenifra	16.3
??? ?????	Oued Ifrane	16.3
??? ?????	Ain Sfa	16.3
????????	Korimate	16.3
?? ?????	Fam El Hisn	16.3
??? ?????	Ahl Tifnoute	16.3
?????	Telouet	16.3
??? ????? ???????	Ras El Ain Chaouia	16.2
??? ????	Ain Blal	16.2
?????	Lagfaf	16.2
???? ??	Oued Zem	16.2
???????	Tifarouine	16.2
?????	M'rirt	16.2
??????	Aquermoud	16.2
?????	Tigouga	16.2
????	Tlite	16.2
????	Lahdar	16.1
??? ??????	Ain Sbit	16.1
????? ?????	Oulad Ftata	16.1
????? ????	Oulad Azzouz	16.1
?????? ?? ????	Fquih Ben Salah	16.1
??? ?????	Bni Hadifa	16.1
??? ???? ????	Ait Youssef Ou Ali	16.1
????? ?????	Oulad Amghar	16.1
???????	El Gouzate	16.1
??? ??????	Bab Marzouka	16.1
??????	Atouabet	16.1
????????	M'khalif	16.1
???? ??????	Sidi Laaroussi	16.1
??? ?????	Ida Ou Moumen	16.1
??? ?????	Ahl Ramel	16.1
???? ???? ?? ???	Sidi Youssef Ben Ali	16.1
?????	Azgour	16.1
???? ?????	Tizi N'test	16.1
????	Adis	16.1
????? ?????	Aquouass Briech	16
?????	Ahlaf	16
???????	Tabriquet	16
????? ????	Oulad Fennane	16
??????	Tazroute	16
??????	Tazouta	16
????? ??????	Tidili Mesfioua	16
?? ???????	Oum El Guerdane	16
???????	Lgharbia	15.9
????? ?????	Saniat Berguig	15.9
????????	Ezzhiliga	15.9
????? ?????	Ouled M'hamed	15.9
??????	Taounza	15.9
?????	Ouannana	15.9
????	Oudka	15.9
????? ??????	Rbaa El Fouki	15.9
???????	Trougout	15.9
?????	Toulal	15.9
???????	Tigrigra	15.9
?? ??????	Oum Rabia	15.9
?????	Tiouli	15.9
?? ?????	Had Dra	15.9
???? ???? ????????	Sidi Aissa Regragui	15.9
???	Mejji	15.9
????????	Talgjount	15.9
???? ????	Sidi Ouassay	15.9
??? ??????	Ida Ou Gailal	15.9
???? ???? ?? ??? ????	Sidi Ahmed Ou Abdallah	15.9
?????	Gmassa	15.9
???? ??????	Talat N'yaaqoub	15.9
??? ????	Ait Zineb	15.9
?? ???????	Had Al Gharbia	15.8
???? ?????	Sidi Othmane	15.8
????? ?? ?????	Oulad Si Bouhya	15.8
???????	Ihaddadene	15.8
??? ???????	Bni Bouifrour	15.8
??? ??????	Ain Chair	15.8
??????	Meskala	15.8
????????	Taouloukoult	15.8
?????	Anougal	15.8
??????	Ouazguita	15.8
??? ????	Sour El Aaz	15.8
???????	Amerzgane	15.8
??????	Iznaguen	15.8
??????	Boukraa	15.7
?????	Assilah	15.7
?????	Ayacha	15.7
????	Asjen	15.7
???????	Boulaouane	15.7
???? ?????	Sidi Mansour	15.7
?????	Jahjouh	15.7
??? ????	Bni Ykhlef	15.7
??? ????	Ouaoumana	15.7
???????	Zrizer	15.7
???????	Laaouinate	15.7
??? ????	Bni Drar	15.7
???????	Lagdadra	15.7
???? ?????	Assif El Mal	15.7
???? ????	Sidi Ifni	15.7
??????	Touizgui	15.7
??????	Amizmiz	15.7
????? ?????	Ouled Salmane	15.6
?????	Azemmour	15.6
????????	Ziaida	15.6
??????	El Gara	15.6
????? ??? ???????	Oulad Ali Toualaa	15.6
??? ??????	Ait Ouikhalfen	15.6
??????	Rfala	15.6
??? ???????	Had Bouhssoussen	15.6
??? ????	Ait Kamra	15.6
??????? ????????	Gzenaya Al Janoubia	15.6
??????	Msila	15.6
???????	Nador	15.6
???????	Essaouira	15.6
?????	Nfifa	15.6
????	Ighil	15.6
????? ???????	Moulay Brahim	15.6
??????	Al Kharroub	15.5
??? ???????-???? ???????	Ain Johra-Sidi Boukhalkhal	15.5
??? ??????	Ain Jemaa	15.5
??????	Nekkour	15.5
????	Lehri	15.5
??????	Amellagou	15.5
??????	Lebkhata	15.5
????? ?? ??????	Zaouiat Ben Hmida	15.5
?????	Kechoula	15.5
?????	Tafedna	15.5
???? ?????	Machraa El Ain	15.5
??????	El Ghiate	15.4
????? ??????	Ksar El Kebir	15.4
????? ???? ????	Oulad Yahya Louta	15.4
??? ???????	Oued Naanaa	15.4
??? ?????	Bir Ennasr	15.4
???? ??????	Sidi Slimane	15.4
????? ????	Ouled Ayad	15.4
??? ?????	Thar Es-Souk	15.4
?????? ???????	Arbaa Taourirt	15.4
?? ?????	Ben Taieb	15.4
??????? ??????	Imouzzer Marmoucha	15.4
????????	Tighassaline	15.4
?????	Agoudim	15.4
??? ?????	Ain Lehjer	15.4
?????	Toubkal	15.4
?????	Khouzama	15.4
????? ??????	Toudgha Essoufla	15.4
???????	Laagagcha	15.3
???? ???????	Khmis Ksiba	15.3
???????	Chbanate	15.3
??? ????	Béni Mellal	15.3
??????	Bouadel	15.3
??? ?????	Ait Saadelli	15.3
??????	Tanourdi	15.3
????	Assoul	15.3
???? ???????	Sidi Boulaalam	15.3
????????	Saidate	15.3
??? ???????	Ain Tazitounte	15.3
?????	Aghbar	15.3
?????	Tagante	15.3
?????	Tazart	15.3
??????	Ouzioua	15.3
?????	Imlil	15.3
????? ??????	Gheris Es-Soufli	15.3
?????? ????? ????	Foqra Oulad Aameur	15.2
????? ????	Oulad M'rah	15.2
???????	Lakhzazra	15.2
????????	Kénitra	15.2
??? ????	Bni Oukil	15.2
???? ?????	Kasbat Troch	15.2
????? ??????	Almis Marmoucha	15.2
???? ???????	Sidi Boulenouar	15.2
???? ????	Afalla Issen	15.2
????????	Imilmaiss	15.2
???????	Jouala	15.2
???? ????	Sidi Rahal	15.2
???? ??????	Ighrem N'ougdal	15.2
?????	M'ssici	15.2
????	Chahda	15.1
??????	Bouguedra	15.1
?????? ???????	Sahel Chamali	15.1
???? ??? ??????	Sidi Abdelkrim	15.1
???? ??????	Sidi Boumehdi	15.1
????? ????? ???????	Oulad Bouali Nouaja	15.1
???????	Lagnadiz	15.1
??? ?????	Bni Chegdale	15.1
???? ???? ?? ???	Sidi Aissa Ben Ali	15.1
????? ????	Ouled Gnaou	15.1
??????	Izemmouren	15.1
???????	Mazguitam	15.1
???? ?????	Hassi-Berkane	15.1
?????? ??????	Aghbalou Aqorar	15.1
?????	Amouguer	15.1
??????	Bsara	15.1
??? ?????	Ahl Oued Za	15.1
??????	Idelsane	15.1
????	Afra	15.1
??? ?????? ????	Souk Lakhmis Dades	15.1
???	Akka	15.1
?????	Ktaoua	15.1
??????	Labkhati	15
??????	Lamsabih	15
??????	Zaaroura	15
??? ????	Ait Malek	15
???????	Laghoualem	15
??????	Zirara	15
????? ??????	Oulad Boughadi	15
??????	Krifate	15
????? ???????	Ouled Bourahmoune	15
????? ???? ?? ?????	Moulay Aissa Ben Driss	15
????? ??????	Ouled M'barek	15
???? ????	Sidi Hcine	15
???????	Tafrant	15
??? ?????	Ras El Oued	15
??????	Talmest	15
???????	Tafraout	15
???? ??????	Sidi Ouaaziz	15
????? ??????	Ferkla Es-Soufla	15
??? ??????	Ait Boudaoud	15
???????	Lamaachate	14.9
????? ?????	Oulad Sbaita	14.9
?????	Lmechrek	14.9
????? ?????	Oulad Massaoud	14.9
?????	Témara	14.9
??? ????-??? ??????	Ain Karma-Oued Rommane	14.9
??????	Oulmes	14.9
????? ????	Oulad Aissa	14.9
??? ???	Bni Lent	14.9
???????	Mtalssa	14.9
??? ????	Ait Yaazem	14.9
?????????	El Mariniyine	14.9
???? ????	Tizi N'ghachou	14.9
???? ????? ????????	Sidi Bouzid Arragragui	14.9
??? ?????	Mirleft	14.9
?????	Tissint	14.9
???????	El Gantour	14.8
???????	Boujedyane	14.8
????? ?????	Oulad Hamdane	14.8
???? ??? ??????	Sidi Abderrazak	14.8
??? ????	Bni A'yat	14.8
???? ????? ???????	Moha Ou Hammou Zayani	14.8
????	Bourd	14.8
???????	Bouchfaa	14.8
??? ??? ????	Ain Bni Mathar	14.8
???? ????	Sidi Ghanem	14.8
??????	Lamhara	14.8
????? ??????	Gheris El Ouloui	14.8
??? ????	Sebt Saiss	14.7
?? ?????	Khatazakane	14.7
????????	El Gouraani	14.7
???????	Al Manzla	14.7
???? ???????	Mechraa Bel Ksiri	14.7
????? ????	Moulay Rachid	14.7
????? ???? ??????	Oulad Aamer Tizmarine	14.7
???? ??????	M'qam Tolba	14.7
???? ?????	Sidi Lamine	14.7
????? ????	Oulad Daoud	14.7
??????	Tainaste	14.7
??? ????	Bni Ftah	14.7
???????	Tiztoutine	14.7
???????	El Orjane	14.7
?? ????	Ben Khlil	14.7
?????	Tinzart	14.7
????? ???	Oulad Abbou	14.6
??? ??????	Ras Ijerri	14.6
??????	Aguelmous	14.6
??? ?????	Ain Beida	14.6
??????	Al Aaroui	14.6
???? ???? ?? ????	Sidi Youssef Ben Ahmed	14.6
????? ???????	Ghiata Al Gharbia	14.6
???? ????	Ida Ou Aazza	14.6
??????	Tansifte	14.6
?????	Er-Rteb	14.6
???????	Es-Sfalat	14.6
???? ??????	Oued Naam	14.6
??????	Shoul	14.5
?????	Tétouan	14.5
????	Zoumi	14.5
????	Louta	14.5
????? ??????	Oulad Bourima	14.5
??????	El Hajeb	14.5
????? ??????	Oulad Chrif	14.5
??????	Tancherfi	14.5
???????	Irohalen	14.5
?????	Tanant	14.5
????????	Afella N'dra	14.5
??????	Mezguita	14.5
??? ??????	Moul El Bergui	14.4
?? ????	Ben Ahmed	14.4
????? ????	Oulad Amer	14.4
????? ???? ?????	Oulad Fares El Halla	14.4
?????	Naour	14.4
??? ????	Bni Snous	14.4
?????	Aknoul	14.4
??? ?????	Bni Ansar	14.4
????	Saiss	14.4
?? ????	Ben Smim	14.4
??? ??????	Oued Jemaa	14.4
??? ????	Ain Legdah	14.4
??????	Aghbala	14.4
?????	Midelt	14.4
???? ?????	Sidi Boutayeb	14.4
???? ????	Sidi Lahsen	14.4
???????	El Hanchane	14.4
????????	Taroudannt	14.4
????? ????	Louad Lakhdar	14.4
?????	Aousserd	14.3
???	Nagga	14.3
??????	Mrizigue	14.3
????????	Errafiaya	14.3
?????	Tiflet	14.3
??? ??????	Had Boumoussa	14.3
?????	Tabouda	14.3
???????	Lamjaara	14.3
???? ???? ??? ?????	Sidi Yahia Bni Zeroual	14.3
?????????	Mrhassiyine	14.3
?????	Ifrane	14.3
??????	Galdamane	14.3
???? ????-??????	Sidi Moussa Lemhaya	14.3
????? ??????	Oulad M'rabet	14.3
????? ?????	Oulad Moumna	14.3
????? ???	Oulad Dahou	14.3
???????	Lagfifat	14.3
??????	Ouirgane	14.3
??? ????? ????? ??????	Ait Sedrate Jebel Soufla	14.3
??? ?? ????	Dar Si Aissa	14.2
???? ??? ????	Koudiat Bni Dghough	14.2
????????	Benslimane	14.2
????????	Braksa	14.2
????? ????	Ouled Youssef	14.2
??? ???????	Melg El Ouidane	14.2
???????	Taourirt	14.2
?????	Abadou	14.2
????	Tifni	14.2
??????	Bouhmame	14.1
??? ??????	Dar Chaoui	14.1
??? ????	Bni Harchen	14.1
??? ????	Had Kourt	14.1
????????	Laghnimyine	14.1
??? ????	Bni Khloug	14.1
????	Mniaa	14.1
??????	Belyounech	14.1
??? ???????	Ain Dfali	14.1
??????	Mezraoua	14.1
??? ????	Sabaa Aiyoun	14.1
???? ??????	Sidi El Makhfi	14.1
???? ??????	Outabouabane	14.1
????????	Lakhnafif	14.1
??????	Abaynou	14.1
??? ???????	Lalla Takarkoust	14.1
????? ???????	Zemrane Charqia	14.1
??????	Toundoute	14.1
?? ????	Foum Zguid	14.1
????????	Laghnadra	14
???? ???? ?? ????	Sidi Mohammed Ben Rahal	14
???? ???????	Sidi El Aidi	14
????	Guisser	14
??????	Meskoura	14
??? ?? ???????	Dar Oum Soltane	14
???? ??????	Majmaa Tolba	14
????? ????	Ouled Nacer	14
??? ????	Bni Hassane	14
??????	Agourai	14
???? ???? ??????	Sidi Yahya Ou Saad	14
??? ????	Ait Yahya	14
??????	Tiznit	14
?????? ?????	Laqsabi Tagoust	14
????	Haouza	14
